"","Var1","Freq"
"1","ALPPIHARJU",82
"2","ASKISTO",2
"3","ASOLA",88
"4","EIRA",9
"5","ESPOON KESKUS",80
"6","ESPOONLAHTI",58
"7","ETU-TÖÖLÖ",116
"8","HAAGA",207
"9","HAKUNILA",26
"10","HÄMEENKYLÄ",37
"11","HÄMEVAARA",2
"12","HAUKILAHTI",12
"13","HAVUKOSKI",40
"14","HENTTAA",21
"15","HERMANNI",32
"16","HERTTONIEMI",149
"17","HIEKKAHARJU",60
"18","ILOLA",12
"19","ITÄ-HAKKILA",9
"20","JÄRVENPERÄ",12
"21","JOKINIEMI",21
"22","KAARELA",136
"23","KAARTINKAUPUNKI",8
"24","KAITAA",18
"25","KAIVOKSELA",28
"26","KALLIO",194
"27","KAMPPI",84
"28","KÄPYLÄ",42
"29","KARAKALLIO",20
"30","KARHUSUO",6
"31","KARVASMÄKI",2
"32","KATAJANOKKA",63
"33","KAUKLAHTI",26
"34","KAUPUNGINKALLIO",3
"35","KEIMOLA",3
"36","KILO",20
"37","KIVISTÖ",91
"38","KLUUVI",4
"39","KOIVUHAKA",5
"40","KOIVUKYLÄ",24
"41","KOLMPERÄ",1
"42","KONALA",34
"43","KORSO",31
"44","KOSKELA",13
"45","KRUUNUNHAKA",59
"46","KULOSAARI",16
"47","KUMPULA",11
"48","KUNINKAALA",2
"49","KUNINKAANMÄKI",3
"50","KUURINNIITTY",4
"51","LAAJALAHTI",11
"52","LAAJASALO",64
"53","LAAKSO",2
"54","LAAKSOLAHTI",49
"55","LAHNUS",1
"56","LÄNSIMÄKI",12
"57","LÄNSISATAMA",88
"58","LATOKASKI",5
"59","LAUTTASAARI",163
"60","LEPPÄKORPI",6
"61","LEPPÄVAARA",90
"62","LINTUVAARA",32
"63","LIPPAJÄRVI",21
"64","MALMI",117
"65","MANKKAA",8
"66","MARTINLAAKSO",94
"67","MATARI",10
"68","MATINKYLÄ",88
"69","MEILAHTI",46
"70","MELLUNKYLÄ",181
"71","METSOLA",10
"72","MIKKOLA",11
"73","MUNKKINIEMI",156
"74","MUURALA",5
"75","MYYRMÄKI",91
"76","NIIPPERI",6
"77","NIITTYKUMPU",30
"78","NIKINMÄKI",5
"79","NÖYKKIÖ",15
"80","NUPURI",1
"81","OLARI",83
"82","OTANIEMI",1
"83","OULUNKYLÄ",120
"84","PÄIVÄKUMPU",6
"85","PAKILA",39
"86","PAKKALA",27
"87","PASILA",57
"88","PERUSMÄKI",10
"89","PIISPANKYLÄ",7
"90","PITÄJÄNMÄKI",47
"91","POHJOIS-TAPIOLA",15
"92","PUKINMÄKI",34
"93","PUNAVUORI",87
"94","RAJAKYLÄ",17
"95","REKOLA",9
"96","RUSKEASANTA",14
"97","RUSKEASUO",21
"98","SAUNALAHTI",14
"99","SEPÄNKYLÄ",15
"100","SIMONKYLÄ",30
"101","SÖRNÄINEN",55
"102","SOUKKA",31
"103","SUURMETSÄ",81
"104","SUUTARILA",46
"105","TAKA-TÖÖLÖ",85
"106","TAMMISALO",10
"107","TAMMISTO",16
"108","TAPANINKYLÄ",87
"109","TAPIOLA",93
"110","TIKKURILA",73
"111","TOUKOLA",20
"112","TUOMARINKYLÄ",41
"113","ULLANLINNA",72
"114","VAARALA",13
"115","VALLILA",65
"116","VANHAKAUPUNKI",8
"117","VANTAANLAAKSO",4
"118","VANTTILA",5
"119","VAPAALA",13
"120","VARISTO",3
"121","VARTIOKYLÄ",143
"122","VIERTOLA",25
"123","VIERUMÄKI",1
"124","VIHERLAAKSO",23
"125","VIIKKI",43
"126","VUOSAARI",159
"127","WESTEND",2
"128","YLÄSTÖ",20
